,Year,Area
803,1962,0.0
804,1962,0.0
805,1962,3.237488
806,1962,0.0
807,1962,0.0
808,1962,0.0
809,1962,0.0
810,1962,0.0
811,1962,0.809372
812,1962,0.0
813,1962,0.0
814,1962,0.0
815,1962,0.0
816,1962,0.0
817,1962,0.0
818,1962,0.404686
819,1962,0.0
820,1962,0.0
821,1962,0.0
822,1962,0.0
823,1962,0.0
824,1962,0.0
825,1962,0.0
826,1962,0.0
827,1962,0.0
828,1962,0.0
829,1962,0.0
830,1962,0.0
831,1962,0.0
832,1962,0.0
833,1962,0.0
834,1962,0.0
835,1962,0.0
836,1962,0.0
837,1962,0.0
838,1962,0.0
839,1962,0.0
840,1962,0.0
841,1962,0.809372
842,1962,0.0
843,1962,0.0
844,1962,0.0
845,1962,0.0
846,1962,0.0
847,1962,0.0
848,1962,0.0
849,1962,0.404686
850,1962,0.0
851,1962,0.0
852,1962,0.0
853,1962,0.0
854,1962,0.404686
855,1962,0.0
856,1962,0.0
857,1962,0.0
858,1962,0.0
859,1962,0.0
860,1962,0.0
861,1962,10.11715
862,1962,2.02343
863,1962,1.214058
864,1962,1.214058
865,1962,0.404686
866,1962,0.0
867,1962,0.404686
868,1962,0.809372
869,1962,0.0
870,1962,0.0
871,1962,0.0
872,1962,0.0
873,1962,0.0
874,1962,0.0
875,1962,0.0
876,1962,0.0
877,1962,16.18744
878,1962,0.404686
879,1962,1.214058
880,1962,0.404686
881,1962,0.0
882,1962,0.0
883,1962,0.0
884,1962,8.09372
885,1962,1.214058
886,1962,1.214058
887,1962,3.642174
888,1962,0.0
889,1962,0.0
890,1962,0.809372
891,1962,0.0
892,1962,0.0
893,1962,135.09632738
894,1962,64.74976
895,1962,16.18744
896,1962,0.0
897,1962,0.0
898,1962,0.0
899,1962,2.02343
900,1962,0.0
901,1962,0.0
902,1962,0.0
903,1962,0.0
904,1962,0.0
905,1962,0.0
906,1962,0.0
907,1962,16.592126
908,1962,0.404686
909,1962,0.0
910,1962,0.809372
911,1962,0.0
912,1962,18.615555999999998
913,1962,0.0
914,1962,80.9372
915,1962,10.11715
916,1962,1.618744
917,1962,0.809372
