"LAT","LONG","FIRENUMBER","FOREST","DISTRICT","YEAR","FIRENO","SIZECLAS","LS","SECTION","TWNSHIP","RANGE","MER","FORAREA","OWNSHIP","GENCAUSE","SPECAUSE","CAUSECLA","AGENCY","LOOKOUT","REPTD","TWDVEHI","FWDVEHI","TKEDVEHI","HCOPTER","FW","WALK","OTHERS","HRSTART","DAY","MON","HRDISC","DDAY","DMON","DISCTIME","REPDTIME","CREWSTAR","CREWBGN","CONTROL","EXTINGSED","PRIFUEL","SECFUEL","COVER","GFIREWX","OFIREWX","WINDIR","WINDVEL","WINDCHAR","ADMC","FWI","MEN","DOZERS","FWBOMBER","HEL","POWPUMPS","TANKERS","OTHER","MAXNOMEN","DISSIZE","IASIZE","RFAREA","CROWN","PRIVATE","TOTAL","MERAC","YCAC","YDAC","YMAC","POTAC","NOPOTAC","MFBM","CCORDS","DCORDS","DSANT","PRODV","PPV","SUPCOST"
58.0548,-110.5399,"DA4-008-61","A","4",61,8,2,"07",26,104,4,4,0,1,1,1,0,1,"KN",1,0,0,0,31,0,0,0,180,7,7,190,7,7,10,0,25,50,18,402,3,1,0,0,0,4,18,0,0,0,1,0,0,0,0,0,0,0,3,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,45
58.2184,-110.9058,"DA4-009-61","A","4",61,9,2,"11",22,106,6,4,0,1,1,1,0,5,NA,1,0,0,0,17,104,1,0,160,14,7,180,14,7,20,180,17,42,135,125,6,1,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1232
57.964,-110.7817,"DA4-010-61","A","4",61,10,2,"01",29,103,5,4,0,1,1,1,0,1,"RI",1,0,0,0,152,7,0,0,200,21,7,200,21,7,0,0,90,30,0,15,6,1,0,0,0,8,15,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,503
58.0184,-112.4391,"DA4-011-61","A","4",61,11,4,"16",8,104,15,4,0,1,1,1,0,1,"BI",1,0,0,0,18,0,0,0,145,22,8,165,28,8,1460,0,99,55,480,756,0,1,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,160,300,0,454,0,454,0,0,0,0,0,0,0,0,0,0,0,0,8787
58.0403,-112.038,"DA4-012-61","A","4",61,12,2,"06",23,104,13,4,0,1,1,1,0,5,NA,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,99,20,87,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,863
59.8281,-111.9112,"DA5-001-61","A","5",61,1,1,"06",6,125,11,4,0,1,2,4,0,2,NA,1,25,0,0,0,0,0,0,100,11,5,130,11,5,30,0,0,20,10,10,0,3,0,0,0,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.9303,-114.6665,"DB3-001-61","B","3",61,1,1,"11",5,23,5,5,0,1,1,1,0,7,NA,2,18,0,0,0,0,0,0,0,17,6,0,17,6,0,0,5,5,40,132,1,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
51.0413,-115.2393,"DB4-001-61","B","4",61,1,2,"00",18,24,9,5,0,4,4,7,7,7,NA,1,10,0,0,0,0,20,0,30,20,5,37,20,5,7,4,0,4,17,10,2,2,0,0,0,7,50,0,0,0,5,0,0,0,0,0,0,0,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,12
51.003,-115.0096,"DB4-002-61","B","4",61,2,2,"10",35,23,8,5,0,1,8,13,0,3,NA,1,32,0,0,0,0,0,0,125,2,6,130,2,6,5,0,0,2,17,300,2,4,0,0,0,8,6,0,0,0,40,0,0,0,0,0,0,0,3,3,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
50.9958,-115.3642,"DB4-003-61","B","4",61,3,1,"03",32,23,10,5,0,1,6,11,0,2,NA,1,0,0,0,0,0,0,0,95,8,6,105,8,6,10,0,0,0,0,5,0,0,0,0,0,4,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.9303,-115.2014,"DB4-004-61","B","4",61,4,2,"11",4,23,9,5,0,1,1,1,0,7,NA,1,37,0,0,0,0,3,0,80,18,6,87,20,6,487,0,1,17,472,463,0,1,0,0,0,6,20,0,0,0,15,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,514
51.0758,-115.3235,"DB4-005-61","B","4",61,5,1,"12",27,24,10,5,0,1,5,4,0,7,NA,1,3,0,0,0,0,0,0,0,1,7,0,1,7,0,2,0,1,0,16,0,0,0,0,0,4,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.0503,-115.1667,"DB4-006-61","B","4",61,6,1,"16",15,24,9,5,0,1,6,11,0,2,NA,1,0,0,0,0,0,0,0,240,8,8,137,9,8,137,0,0,0,0,1,0,9,0,0,0,6,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.9958,-114.8643,"DB5-001-61","B","5",61,1,1,"01",35,23,7,5,0,1,1,1,0,2,NA,2,0,0,0,0,0,12,0,0,12,7,0,12,7,0,0,15,150,10,60,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
